name,type,rarity,baseAttack,subStat,passiveDesc
A Thousand Floating Dreams,Catalyst,5,44,Elemental Mastery,"Party members other than the equipping character will provide the equipping character with buffs based on whether their Elemental Type is the same as the latter or not. If their Elemental Types are the same, increase Elemental Mastery by 32. If not, increase the equipping character's DMG Bonus from their Elemental Type by 10%. Each of the aforementioned effects can have up to 3 stacks. Additionally, all nearby party members other than the equipping character will have their Elemental Mastery increased by 40. Multiple such effects from multiple such weapons can stack."
Akuoumaru,Claymore,4,42,ATK,"For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12/0.15/0.18/0.21/0.24%. A maximum of 40/50/60/70/80% increased Elemental Burst DMG can be achieved this way."
Alley Hunter,Bow,4,41,Attack,"Every 4s a character is on the field, their ATK increases by 4/5/6/7/8% and their CRIT DMG increases by 4/5/6/7/8%. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG."
Amber Catalyst,Catalyst,3,40,Elemental Mastery,Normal Attack hits increase all Elemental DMG by 6/7.5/9/10.5/12% for 6s. Max 2 stacks.
Amenoma Kageuchi,Sword,4,41,ATK,"After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 6/7.5/9/10.5/12 Energy for each seed consumed."
Amos' Bow,Bow,5,46,ATK,"Increases Normal Attack and Aimed Shot DMG by 12/15/18/21/24%. Increases DMG from arrows shot by a further 8/10/12/14/16% for every 0.1s that the arrow is in flight, up to 0.5s. Stacks up to 5 times on each arrow."
Apprentice's Notes,Catalyst,1,23,-,-
Aqua Simulacra,Bow,5,44,CRIT DMG,"HP is increased by 16%. When there are opponents nearby, the DMG dealt by the wielder of this weapon is increased by 20%. This will take effect whether the character is on-field or not."
Aquila Favonia,Sword,5,48,Physical DMG Bonus,"ATK is increased by 20/25/30/35/40%. Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of the resistance aloft, regenerating HP equal to 100/115/130/145/160% of ATK and dealing 200/230/260/290/320% of ATK as DMG to surrounding enemies. This effect can only occur once every 15s."
Ballad of the Boundless Blue,Catalyst,4,44,Energy Recharge,"Within 6s after Normal or Charged Attacks hit an opponent, Normal Attack DMG will be increased by 8/10/12/14/16% and Charged Attack DMG will be increased by 6/7.5/9/10.5/12%. Max 3 stacks. This effect can be triggered once every 0.3s."
Ballad Of The Fjords,Polearm,4,42,CRIT Rate,"When there are at least 3 different Elemental Types in your party, Elemental Mastery will be increased by 120."
Beacon of the Reed Sea,Claymore,5,46,CRIT Rate,"After the character's Elemental Skill hits an opponent, their ATK will be increased by 20% for 8s. After the character takes DMG, their ATK will be increased by 20% for 8s. The 2 aforementioned effects can be triggered even when the character is not on the field. Additionally, when not protected by a shield, the character's Max HP will be increased by 32%."
Beginner's Protector,Polearm,1,23,-,-
Black Tassel,Polearm,3,38,HP,Increases DMG against slimes by 40/50/60/70/80%.
Blackcliff Agate,Catalyst,4,42,CRIT DMG,"After defeating an opponent, ATK is increased by 12% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
Blackcliff Agate,Catalyst,4,42,CRIT DMG,"After defeating an enemy, ATK is increased by 12/15/18/21/24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
Blackcliff Longsword,Sword,4,44,CRIT DMG,"After defeating an enemy, ATK is increased by 12/15/18/21/24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
Blackcliff Pole,Polearm,4,42,CRIT DMG,"After defeating an enemy, ATK is increased by 12/15/18/21/24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
Blackcliff Slasher,Claymore,4,42,CRIT DMG,"After defeating an enemy, ATK is increased by 12/15/18/21/24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
Blackcliff Warbow,Bow,4,44,CRIT DMG,"After defeating an enemy, ATK is increased by 12/15/18/21/24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
Bloodtainted Greatsword,Claymore,3,38,Elemental Mastery,Increases DMG against enemies affected by Pyro or Electro by 12/15/18/21/24%.
Calamity Queller,Polearm,5,49,ATK,"Gain 12/15/18/21/24% All Elemental DMG Bonus. Obtain Consummation for 20s after using an Elemental Skill, causing ATK to increase by 3.2/4/4.8/5.6/6.4% per second. This ATK increase has a maximum of 6 stacks. When the character equipped with this weapon is not on the field, Consummation's ATK increase is doubled."
Cashflow Supervision,Catalyst,5,48,CRIT Rate,"ATK is increased by 16/20/24/28/32%. When current HP increases or decreases, Normal Attack DMG will be increased by 16/20/24/28/32% and Charged Attack DMG will be increased by 14/17.5/21/24.5/28% for 4s. Max 3 stacks. This effect can be triggered once every 0.3s. When the wielder has 3 stacks, ATK SPD will be increased by 8/10/12/14/16%."
Cinnabar Spindle,Sword,4,41,DEF,Elemental Skill DMG is increased by 40/50/60/70/80% of DEF. The effect will be triggered no more than once every 1.5s and will be cleared 0.1s after the Elemental Skill deals DMG.
Compound Bow,Bow,4,41,Physical DMG Bonus,Normal Attack and Aimed Shot hits increase ATK by 4/5/6/7/8% and Normal Attack SPD by 1.2/1.5/1.8/2.1/2.4% for 6s. Max 4 stacks. Can only occur once every 0.3s.
Cool Steel,Sword,3,39,ATK,Increases DMG against enemies affected by Hydro or Cryo by 12/15/18/21/24%.
Crane's Echoing Call,Catalyst,5,49,ATK,"After the equipping character hits an opponent with a Plunging Attack, all nearby party members' Plunging Attacks will deal 28% increased DMG for 20s. When nearby party members hit opponents with Plunging Attacks, they will restore 2.5/2.75/3/3.25/3.5 Energy to the equipping character. Energy can restored this way every 0.7s. This energy regain effect can be triggered even if the equipping character is not on the field."
Crescent Pike,Polearm,4,44,Physical DMG Bonus,"After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal an additional 20% ATK as DMG for 5s."
Crimson Moon's Semblance,Polearm,5,48,CRIT Rate,"Grants a Bond of Life equal to 25% of Max HP when a Charged Attack hits an opponent. This effect can be triggered up to once every 14s. In addition, when the equipping character has a Bond of Life, they gain a 12/16/20/24/28% DMG Bonus; if the value of the Bond of Life is greater than or equal to 30% of Max HP, then gain an additional 24/32/40/48/56% DMG"
Dark Iron Sword,Sword,3,40,Elemental Mastery,"Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, increases Base ATK by 20/25/30/35/40% for 12s."
Deathmatch,Polearm,4,41,CRIT Rate,"If there are at least 2 opponents nearby, ATK is increased by 16% and DEF is increased by 16%. If there are less than 2 enemies nearby, ATK is increased by 24%."
Debate Club,Claymore,3,39,ATK,"After using an Elemental Skill, Normal or Charged Attacks, on hit, deal an additional 60/75/90/105/120% ATK DMG in a small area. Effect lasts 15s. DMG can only occur once every 3s."
Dialogues of the Desert Sages,Polearm,4,42,HP,"When the wielder performs healing, restore 8 Energy. This effect can be triggered once every 10s and can occur even when the character is not on the field."
Dodoco Tales,Catalyst,4,41,ATK,Normal Attack hits on opponents increase Charged Attack DMG by 16/20/24/28/32% for 6s. Charged Attack hits on opponents increase ATK by 8/10/12/14/16% for 6s.
Dragon's Bane,Polearm,4,41,Elemental Mastery,Increases DMG against enemies affected by Hydro or Pyro by 20/24/28/32/36%.
Dragonspine Spear,Polearm,4,41,Physical DMG Bonus,"Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s."
Dull Blade,Sword,1,23,-,-
Ebony Bow,Bow,3,40,ATK,Increases DMG against mechanoid Ruin enemies by 40/50/60/70/80%.
Elegy for the End,Bow,5,46,Energy Recharge,"A part of the 'Millennial Movement' that wanders amidst the winds. Increases Elemental Mastery by 60. When the Elemental Skills or Elemental Bursts of the character wielding this weapon hit opponents, that character gains a Sigil of Remembrance. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field. When you possess 4 Sigils of Remembrance, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Farewell Song' effect for 12s. 'Millennial Movement: Farewell Song' increases Elemental Mastery by 100 and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Remembrance for 20s. Of the many effects of the 'Millennial Movement,' buffs of the same type will not stack."
Emerald Orb,Catalyst,3,40,Elemental Mastery,"Upon causing a Vaporize, Electro-Charged, Frozen, or a Hydro-infused Swirl reaction, increases Base ATK by 20/25/30/35/40% for 12s."
End of the Line,Bow,4,42,Energy Recharge,"Triggers the Flowrider effect after using an Elemental Skill, dealing 80% ATK as AoE DMG upon hitting an opponent with an attack. Flowrider will be removed after 15s or after causing 3 instances of AoE DMG. Only 1 instance of AoE DMG can be caused every 2s in this way. Flowrider can be triggered once every 12s."
Engulfing Lightning,Polearm,5,46,Energy Recharge,ATK increased by 28/35/42/49/56% of Energy Recharge over the base 100%. You can gain a maximum bonus of 80/90/100/110/120% ATK. Gain 30/35/40/45/50% Energy Recharge for 12s after using an Elemental Burst.
Everlasting Moonglow,Catalyst,5,46,HP,"Healing Bonus increased by 10/12.5/15/17.5/20%, Normal Attack DMG is increased by 1/1.5/2/2.5/3% of the Max HP of the character equipping this weapon. For 12s after using an Elemental Burst, Normal Attacks that hit opponents will restore 0.6 Energy. Energy can be restored this way once every 0.1s."
Eye of Perception,Catalyst,4,41,ATK,"Normal and Charged Attacks have a 50% chance to fire a Bolt of Perception, dealing 240/270/300/330/360% ATK as DMG. This bolt can bounce between enemies a maximum of 4 times. This effect can occur once every 12/11/10/9/8s."
Fading Twilight,Bow,4,42,Energy Recharge,"Has three states, Evengleam, Afterglow, and Dawnblaze, which increase DMG dealt from 6%/10%/14% (R1) to 12%/20%/28% (R5) respectively. When attacks hit opponents, this weapon will switch to the next state. This weapon can change states once every 7s. The character equipping this weapon can still trigger the state switch while not on the field."
Favonius Codex,Catalyst,4,42,Energy Recharge,"CRIT hits have a 60/70/80/90/100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
Favonius Greatsword,Claymore,4,41,Energy Recharge,"CRIT hits have a 60/70/80/90/100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
Favonius Lance,Polearm,4,44,Energy Recharge,"CRIT hits have a 60/70/80/90/100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
Favonius Sword,Sword,4,41,Energy Recharge,"CRIT hits have a 60/70/80/90/100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
Favonius Warbow,Bow,4,41,Energy Recharge,"CRIT hits have a 60/70/80/90/100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
Ferrous Shadow,Claymore,3,39,HP,"When HP falls below 70/75/80/85/90%, increases Charged Attack DMG by 30/35/40/45/50%, and Charged Attacks become much harder to interrupt."
Festering Desire,Sword,4,42,Energy Recharge,Increases Elemental Skill DMG by 16/20/24/28/32% and Elemental Skill CRIT Rate by 6/7.5/9/10.5/12%.
Fillet Blade,Sword,3,39,ATK,"On hit, has 50% chance to deal 240/280/320/360/400% ATK DMG to a single enemy. Can only occur once every 15/14/13/12/11s."
Finale Of The Deep,Sword,4,44,ATK,"When using an Elemental Skill, ATK will be increased by 12% for 15s, and a Bond of Life worth 25% of Max HP will be granted. This effect can be triggered once every 10s. When the Bond of Life is cleared, a maximum of 150 ATK will be gained based on 2.4% of the Bond when cleared for 15s. Bond of Life: Absorbs healing for the character based on its base value, and clears after healing equal to this value is obtained."
Fleuve Cendre Ferryman,Sword,4,42,Energy Recharge,"Increases Elemental Skill CRIT Rate by 8%. Additionally, increases Energy Recharge by 16% for 5s after using an Elemental Skill.s"
Flowing Purity,Catalyst,4,44,ATK,"When using an Elemental Skill, All Elemental DMG Bonus will be increased by 8% for 15s, and a Bond of Life worth 24% of Max HP will be granted. This effect can be triggered once every 10s. When the Bond of Life is cleared, every 1,000 HP cleared in the process will provide 2% All Elemental DMG Bonus. Up to a maximum of 12% All Elemental DMG can be gained this way. This effect lasts 15s. Bond of Life: Absorbs healing for the character based on its base value, and clears after healing equal to this value is obtained."
Forest Regalia,Claymore,4,44,Energy Recharge,"After triggering Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon, a Leaf of Consciousness will be created around the character for a maximum of 10s. When picked up, the Leaf will grant the character 60 Elemental Mastery for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field. The Leaf of Consciousness' effect cannot stack."
Freedom-Sworn,Sword,5,46,Elemental Mastery,"A part of the ""Millennial Movement"" that wanders amidst the winds. Increases DMG by 10%/12.5%/15%/17.5%/20%. When the character wielding this weapon triggers Elemental Reactions, they gain a Sigil of Rebellion. This effect can be triggered once every 0.5s and can be triggered even if said character is not on the field.When you possess 2 Sigils of Rebellion, all of them will be consumed and all nearby party members will obtain ""Millennial Movement: Song of Resistance"" for 12s. ""Millennial Movement: Song of Resistance"" increases Normal, Charged, and Plunging Attack DMG by 16%/20%/24%/28%/32% and increases ATK by 20%/25%/30%/35%/40%. Once this effect is triggered, you will not gain Sigils of Rebellion for 20s.Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack."
Frostbearer,Catalyst,4,42,ATK,"Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s."
Fruit of Fulfillment,Catalyst,4,42,Energy Recharge,"Obtain the 'Wax and Wane' effect after an Elemental Reaction is triggered, gaining 24 Elemental Mastery while losing 5% ATK. For every 0.3s, 1 stack of Wax and Wane can be gained. Max 5 stacks. For every 6s that go by without an Elemental Reaction being triggered, 1 stack will be lost. This effect can be triggered even when the character is off-field."
Hakushin Ring,Catalyst,4,44,Energy Recharge,"After the character equipped with this weapon triggers an Electro elemental reaction, nearby party members of an Elemental Type involved in the elemental reaction receive a 10/12.5/15/17.5/20% Elemental DMG Bonus for their element, lasting 6s. Elemental Bonuses gained in this way cannot be stacked."
Halberd,Polearm,3,40,ATK,Normal Attacks deal an additional 160/200/240/280/320% DMG. Can only occur once every 10s.
Hamayumi,Bow,4,41,ATK,"Increases Normal Attack DMG by 16/20/24/28/32% and Charged Attack DMG by 12/15/18/21/24%. When the equipping character's Energy reaches 100%, this effect is increased by 100%."
Haran Geppaku Futsu,Sword,5,46,CRIT Rate,"Obtain 12/15/18/21/24% All Elemental DMG Bonus. When other nearby party members use Elemental Skills, the character equipping this weapon will gain 1 Wavespike stack. Max 2 stacks. This effect can be triggered once every 0.3s. When the character equipping this weapon uses an Elemental Skill, all stacks of Wavespike will be consumed to gain Rippling Upheaval: each stack of Wavespike consumed will increase Normal Attack DMG by 20/25/30/35/40% for 8s."
Harbinger of Dawn,Sword,3,39,CRIT DMG,"When HP is above 90%, increases CRIT Rate by 14/18/22/24/28%."
Hunter's Bow,Bow,1,23,-,-
Hunter's Path,Bow,5,44,CRIT Rate,Gain 12% All Elemental DMG Bonus. Obtain the Tireless Hunt effect after hitting an opponent with a Charged Attack. This effect increases Charged Attack DMG by 160% of Elemental Mastery. This effect will be removed after 12 Charged Attacks or 10s. Only 1 instance of Tireless Hunt can be gained every 12s.
Ibis Piercer,Bow,4,44,ATK,The character's Elemental Mastery will increase by 40/50/60/70/80 within 6s after Charged Attacks hit opponents. Max 2 stacks. This effect can triggered once every 0.5s.
Iron Point,Polearm,2,33,-,-
Iron Sting,Sword,4,42,Elemental Mastery,Dealing Elemental DMG increases all DMG by 6% for 6s. Max 2 stacks. Can only occur once every 1s.
Jadefall's Splendor,Catalyst,5,46,HP,"For 3s after using an Elemental Burst or creating a shield, the equipping character can gain the Primordial Jade Regalia effect: Restore 4.5/5/5.5/6/6.5 Energy every 2.5s, and gain 0.3/0.5/0.7/0.9/1.1% Elemental DMG Bonus for their corresponding Elemental Type for every 1,000 Max HP they possess, up to 12/20/28/36/44%. Primordial Jade Regalia will still take effect even if the equipping character is not on the field."
Kagotsurube Isshin,Sword,4,42,ATK,"When a Normal, Charged, or Plunging Attack hits an opponent, it will whip up a Hewing Gale, dealing AoE DMG equal to 180% of ATK and increasing ATK by 15% for 8s. This effect can be triggered once every 8s."
Kagura's Verity,Catalyst,5,46,CRIT DMG,"Gains the Kagura Dance effect when using an Elemental Skill, causing the Elemental Skill DMG of the character wielding this weapon to increase by 12/15/18/21/24% for 16s. Max 3 stacks. This character will gain 12/15/18/21/24% All Elemental DMG Bonus when they possess 3 stacks."
Katsuragikiri Nagamasa,Claymore,4,42,Energy Recharge,"Increases Elemental Skill DMG by 6/7.5/9/10.5/12%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3/3.5/4/4.5/5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field."
Key of Khaj-Nisut,Sword,5,44,HP,"HP increased by 20%. When an Elemental Skill hits opponents, you gain the Grand Hymn effect for 20s. This effect increases the equipping character's Elemental Mastery by 0.12% of their Max HP. This effect can trigger once every 0.3s. Max 3 stacks. When this effect gains 3 stacks, or when the third stack's duration is refreshed, the Elemental Mastery of all nearby party members will be increased by 0.2% of the equipping character's max HP for 20s."
King's Squire,Bow,4,41,ATK,"Obtain the Teachings of the Forest effect when unleashing Elemental Skills and Bursts, increasing Elemental Mastery by 60 for 12s. This effect will be removed when switching characters. When the Teachings of the Forest effect ends or is removed, it will deal 100% of ATK as DMG to 1 nearby opponent. The Teachings of the Forest effect can be triggered once every 20s."
Kitain Cross Spear,Polearm,4,44,Elemental Mastery,"Increases Elemental Skill DMG by 6/7.5/9/10.5/12%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3/3.5/4/4.5/5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field."
Light of Foliar Incision,Sword,5,44,CRIT DMG,"CRIT Rate is increased by 4%. After Normal Attacks deal Elemental DMG, the Foliar Incision effect will be obtained, increasing DMG dealt by Normal Attacks and Elemental Skills by 120% of Elemental Mastery."
Lion's Roar,Sword,4,42,ATK,Increases DMG against enemies affected by Pyro or Electro by 20/24/28/32/36%.
Lithic Blade,Claymore,4,41,CRIT DMG,"For every character in the party who hails from Liyue, the character who equips this weapon gains 6/7/8/9/10% ATK increase and 2/3/4/5/6% CRIT Rate increase."
Lithic Spear,Polearm,4,42,ATK,"For every character in the party who hails from Liyue, the character who equips this weapon gains 7/8/9/10/11% ATK increase and a 3/4/5/6/7% CRIT Rate increase. This effect stacks up to 4 times."
Lost Prayer to the Sacred Winds,Catalyst,5,44,CRIT Rate,"Increases Movement SPD by 10%. When in battle, earn a 6/8/10/12/14% Elemental DMG Bonus every 4s. Max 4 stacks. Lasts until the character falls or leaves combat."
Lumidouce Elegy,Polearm,5,46,CRIT Rate,"ATK increased by 15%. After the equipping character triggers Burning on an opponent or deals Dendro DMG to Burning opponents, the DMG dealt is increased by 18%. This effect lasts for 8s, max 2 stacks. When 2 stacks are reached or when the duration is refreshed at 2 stacks, restore 12 Energy. Energy can be restored this way once every 12s. The 2 aforementioned effects can be triggered even when the character is off-field."
Luxurious Sea-Lord,Claymore,4,41,ATK,"Increases Elemental Burst DMG by 12/15/18/21/24%. When Elemental Burst hits opponents, there is a 100% chance of summoning a huge onrush of tuna that charges and deals 100/125/150/175/200% ATK as AoE DMG. This effect can occur once every 15s."
Magic Guide,Catalyst,3,38,Elemental Mastery,Increases DMG against enemies affected by Hydro or Electro by 12/15/18/21/24%.
Mailed Flower,Claymore,4,44,Elemental Mastery,"Within 8s after the character's Elemental Skill hits an opponent or the character triggers an Elemental Reaction, their ATK and Elemental Mastery will be increased by 12% and 48 respectively."
Makhaira Aquamarine,Claymore,4,42,Elemental Mastery,"The following effect will trigger every 10s: The equipping character will gain 24% of their Elemental Mastery as bonus ATK for 12s, with nearby party members gaining 30% of this buff for the same duration. Multiple instances of this weapon can allow this buff to stack. This effect will still trigger even if the character is not on the field."
Mappa Mare,Catalyst,4,44,Elemental Mastery,Triggering an Elemental reaction grants a 8/10/12/14/16% Elemental DMG Bonus for 10s. Max 2 stacks.
Memory of Dust,Catalyst,5,46,ATK,"Increase Shield Strength by 20/25/30/35/40%. Scoring hits on opponents increases ATK by 4/5/6/7/8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
Messenger,Bow,3,40,CRIT DMG,Aimed Shot hits on weak spots deal an additional 100/125/150/175/200% ATK DMG as CRIT DMG. Can only occur once every 10s.
Missive Windspear,Polearm,4,42,ATK,"Within 10s after an Elemental Reaction is triggered, ATK is increased by 12/15/18/21/24% and Elemental Mastery is increased by 48/60/72/84/96."
