name,type,rarity,baseAttack,subStat,passiveDesc
Mistsplitter Reforged,Sword,5,48,CRIT DMG,"Gain a 12% Elemental DMG Bonus for every element and receive the might of Mistsplitter's Emblem. At stack levels 1/2/3, Mistsplitter's Emblem provides a 8/16/28% Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently."
Mitternachts Waltz,Bow,4,42,Physical DMG Bonus,Normal Attack hits on opponents increase Elemental Skill DMG by 20/25/30/35/40% for 5s. Elemental Skill hits on opponents increase Normal Attack DMG by 20/25/30/35/40% for 5s.
Moonpiercer,Polearm,4,44,Elemental Mastery,"After triggering Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon, a Leaf of Revival will be created around the character for a maximum of 10s. When picked up, the Leaf will grant the character 16% ATK for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field."
Mouun's Moon,Bow,4,44,ATK,"For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12/0.15/0.18/0.21/0.24%. A maximum of 40/50/60/70/80% increased Elemental Burst DMG can be achieved this way."
Oathsworn Eye,Catalyst,4,44,ATK,Increases Energy Recharge by 24/30/36/42/48% for 10s after using an Elemental Skill.
Old Merc's Pal,Claymore,2,33,-,-
Otherworldly Story,Catalyst,3,39,Energy Recharge,Each Elemental Orb or Particle collected restores 1/1.25/1.5/1.75/2% HP.
Pocket Grimoire,Catalyst,2,33,-,-
Polar Star,Bow,5,46,CRIT Rate,"Elemental Skill and Elemental Burst DMG increased by 12/15/18/21/24%. After a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst hits an opponent, 1 stack of Ashen Nightstar will be gained for 12s. When 1/2/3/4 stacks of Ashen Nightstar are present, ATK is increased by (10/12.5/15/17.5/20)/(20/25/30/35/40)/(30/37.5/45/52.5/60)/(48/60/72/84/96)%. The stack of Ashen Nightstar created by the Normal Attack, Charged Attack, Elemental Skill or Elemental Burst will be counted independently of the others."
Portable Power Saw,Claymore,4,41,HP,"When the wielder is healed or heals others, they will gain a Stoic's Symbol that lasts 30s, up to a maximum of 3 Symbols. When using their Elemental Skill or Burst, all Symbols will be consumed and the Roused effect will be granted for 10s. For each Symbol consumed, gain 40/50/60/70/80 Elemental Mastery, and 2s after the effect occurs, 2/2.5/3/3.5/4 Energy per Symbol consumed will be restored for said character. The Roused effect can be triggered once every 15s, and Symbols can be gained even when the character is not on the field."
Predator,Bow,4,42,ATK,"This weapon's effect is only applied on the following platform(s):'PlayStation Network' Dealing Cryo DMG to opponents increases this character's Normal and Charged Attack DMG by 10% for 6s. This effect can have a maximum of 2 stacks. Additionally, when Aloy equips Predator, ATK is increased by 66."
Primordial Jade Cutter,Sword,5,44,CRIT Rate,"HP increased by 20%/25%/30%/35%/40%. Additionally, provides an ATK Bonus based on 1.2%/1.5%/1.8%/2.1%/2.4% of the wielder's Max HP."
Primordial Jade Winged-Spear,Polearm,5,48,CRIT Rate,"On hit, increases ATK by 3.2/3.9/4.6/5.3/6% for 6s. Max 7 stacks. Can only occur once every 0.3s. Full stacks increase Skill DMG by 12/16/20/24/28%."
Prospector's Drill,Polearm,4,44,ATK,"When the wielder is healed or heals others, they will gain a Unity's Symbol that lasts 30s, up to a maximum of 3 Symbols. When using their Elemental Skill or Burst, all Symbols will be consumed and the Struggle effect will be granted for 10s. For each Symbol consumed, gain 3/4/5/6/7% ATK and 7/8.5/10/11.5/13% All Elemental DMG Bonus. The Struggle effect can be triggered once every 15s, and Symbols can be gained even when the character is not on the field."
Prototype Amber,Catalyst,4,42,HP,Using an Elemental Burst regenerates 4 Energy every 2s for 6s. All party members will regenerate 4% HP every 2s for this duration.
Prototype Archaic,Claymore,4,44,ATK,"On hit, Normal or Charged Attacks have a 50% chance to deal an additional 240/300/360/420/480% ATK DMG to enemies within a small radius. Can only occur once every 15s."
Prototype Crescent,Bow,4,42,ATK,Aimed Shot hits on weak points increase Movement SPD by 10% and ATK by 6% for 10s.
Prototype Starglitter,Polearm,4,42,Energy Recharge,"After using an Elemental Skill, increases Normal and Charged Attack DMG by 8% for 12s. Max 2 stacks."
Prototype Amber,Catalyst,4,42,HP,"Using an Elemental Burst regenerates 4/4.5/5/5.5/6 Energy every 2s for 6s. Additionally, all party members will regenerate 4/4.5/5/5.5/6% HP every 2s for this duration."
Prototype Rancour,Sword,4,44,Physical DMG Bonus,"On hit, Normal or Charged Attacks increase Base ATK and DEF by 4/4.5/5/5.5/6% for 6s. Max 4 stacks. Can only occur once every 0.3s."
Prototype Starglitter,Polearm,4,42,Energy Recharge,"After using an Elemental Skill, increases Normal and Charged Attack DMG by 8% for 12s. Max 2 stacks."
Quartz,Claymore,3,40,Elemental Mastery,"Upon causing an Overloaded, Melt, Burning, Vaporize, or a Pyro-infused Swirl reaction, increases Base ATK by 20/25/30/35/40% for 12s."
Rainslasher,Claymore,4,42,Elemental Mastery,Increases DMG against enemies affected by Hydro or Electro by 20/25/30/35/40%.
Range Gauge,Bow,4,44,ATK,"When the wielder is healed or heals others, they will gain a Unity's Symbol that lasts 30s, up to a maximum of 3 Symbols. When using their Elemental Skill or Burst, all Symbols will be consumed and the Struggle effect will be granted for 10s. For each Symbol consumed, gain 3/4/5/6/7% ATK and 7/8.5/10/11.5/% All Elemental DMG Bonus. The Struggle effect can be triggered once every 15s, and Symbols can be gained even when the character is not on the field."
Raven Bow,Bow,3,40,Elemental Mastery,Increases DMG against enemies affected by Hydro or Pyro by 12/15/18/21/24%.
Recurve Bow,Bow,3,38,HP,Defeating an opponent restores 8/10/12/14/16% HP.
Redhorn Stonethresher,Claymore,5,44,CRIT DMG,DEF is increased by 28/35/42/49/56%. Normal and Charged Attack DMG is increased by 40/50/60/70/80% of DEF.
Rightful Reward,Polearm,4,44,HP,"When the wielder is healed, restore 8 Energy. This effect can be triggered once every 10s, and can occur even when the character is not on the field."
Royal Bow,Bow,4,42,ATK,"Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks."
Royal Greatsword,Claymore,4,43,ATK,"Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks."
Royal Grimoire,Catalyst,4,44,ATK,"Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks."
Royal Longsword,Sword,4,42,ATK,"Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks."
Royal Spear,Polearm,4,44,ATK,"Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks."
Rust,Bow,4,42,ATK,Increases Normal Attack DMG by 40/50/60/70/80% but decreases Aimed Shot DMG by 8/9/10/11/12%
Sacrificial Bow,Bow,4,44,Energy Recharge,"After damaging an opponent with an Elemental Skill, the skill has a 40/50/60/70/80% chance to end its own CD. Can only occur once every 30/26/22/18/14s."
Sacrificial Fragments,Catalyst,4,41,Elemental Mastery,"After damaging an opponent with an Elemental Skill, the skill has a 40/50/60/70/80% chance to end its own CD. Can only occur once every 30/26/22/18/14s."
Sacrificial Greatsword,Claymore,4,44,Energy Recharge,"After damaging an opponent with an Elemental Skill, the skill has a 40/50/60/70/80% chance to end its own CD. Can only occur once every 30/26/22/18/14s."
Sacrificial Jade,Catalyst,4,41,CRIT Rate,"When not on the field for more than 5s, Max HP will be increased by 32% and Elemental Mastery will be increased by 40. These effects will be canceled after the wielder has been on the field for 10s."
Sacrificial Sword,Sword,4,41,Energy Recharge,"After damaging an opponent with an Elemental Skill, the skill has a 40/50/60/70/80% chance to end its own CD. Can only occur once every 30/26/22/18/14s."
Sapwood Blade,Sword,4,44,Energy Recharge,"After triggering Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon, a Leaf of Consciousness will be created around the character for a maximum of 10s. When picked up, the Leaf will grant the character 60 Elemental Mastery for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field. The Leaf of Consciousness' effect cannot stack."
Scion Of The Blazing Sun,Bow,4,44,CRIT Rate,"After a Charged Attack hits an opponent, a Sunfire Arrow will descend upon the opponent hit, dealing 60% ATK as DMG, and applying the Heartsearer effect to the opponent damaged by said Arrow for 10s. Opponents affected by Heartsearer take 28% more Charged Attack DMG from the wielder. A Sunfire Arrow can be triggered once every 10s."
Seasoned Hunter's Bow,Bow,2,33,-,-
Serpent Spine,Claymore,4,42,CRIT Rate,"Every 4s a character is on the field, they will deal 6% more DMG and take 3% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG."
Sharpshooter's Oath,Bow,3,39,CRIT DMG,Increases DMG against weak spots by 24/30/36/42/48%.
Silver Sword,Sword,2,33,-,-
Skyrider Greatsword,Claymore,3,39,Physical DMG Bonus,"On hit, Normal or Charged Attacks increase ATK by 6/7/8/9/10% for 6s. Max 4 stacks. Can only occur once every 0.5s."
Skyrider Sword,Sword,3,38,Energy Recharge,Using an Elemental Burst grants a 12/15/18/21/24% increase in ATK and Movement SPD for 12s.
Skyward Atlas,Catalyst,5,45,ATK,"Increases Elemental DMG Bonus by 12/15/18/21/24%. Normal Attack hits have a 50% chance to earn the favor of the clouds. which actively seek out nearby enemies to attack for 15s, dealing 160/200/240/280/320% ATK DMG. Can only occur once every 30s."
Skyward Blade,Sword,5,44,Energy Recharge,"CRIT Rate increased by 4%. Gains Skypiercing Might upon using an Elemental Burst:
Increases Movement SPD by 10%, increases ATK SPD by 10%, and increases the DMG of Normal and Charged Attack hits by 20% for 12s."
Skyward Harp,Bow,5,45,CRIT Rate,"Increases CRIT DMG by 20/25/30/35/40%. Hits have a 60/70/80/90/100% chance to inflict a small AoE attack, dealing 100% Physical ATK DMG. Can only occur once every 4s."
Skyward Pride,Claymore,5,45,Energy Recharge,"Increases all DMG by 8/10/12/14/16%. After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 80/100/120/140/160% Physical DMG to enemies along its path. Lasts for 20s or 8 vacuum blades."
Skyward Spine,Polearm,5,48,Energy Recharge,"Increases CRIT Rate by 8% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on enemies have a 50% chance to trigger a vacuum blade that deals 40% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s."
Slingshot,Bow,3,38,CRIT Rate,"If a Normal Attack or Aimed Shot hits a target within 0.3s of being fired, increases DMG by 36/42/48/54/60%; otherwise, it decreases DMG by 10%."
Snow-Tombed Starsilver,Claymore,4,44,Physical DMG Bonus,"Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s."
Solar Pearl,Catalyst,4,42,CRIT Rate,"Normal Attack hits increase Elemental Skill and Elemental Burst DMG by 20/25/30/35/40% for 6s. Likewise, Elemental Skill or Elemental Burst hits increase Normal Attack DMG by 20/25/30/35/40% for 6s."
Song of Broken Pines,Claymore,5,49,Physical DMG Bonus,"A part of the 'Millennial Movement' that wanders amidst the winds. Increases ATK by 16%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess four Sigils of 'Whispers, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Banner-Hymn' effect for 12s. 'Millennial Movement: Banner-Hymn' increases Normal ATK SPD by 12% and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the 'Millennial Movement', buffs of the same type will not stack."
Song Of Stillness,Bow,4,42,ATK,"After the wielder is healed, they will deal 16% more DMG for 8s. This can be triggered even when the character is not on the field."
Splendor of Tranquil Waters,Sword,5,44,CRIT DMG,"When the equipping character's current HP increases or decreases, Elemental Skill DMG dealt will be increased by 8/10/12/14/16% for 6s. Max 3 stacks. This effect can be triggered once every 0.2s. When other party members' current HP increases or decreases, the equipping character's Max HP will be increased by 14/17.5/21/24.5/28% for 6s. Max 2 stacks. This effect can be triggered once every 0.2s. The aforementioned effects can be triggered even if the wielder is off-field."
Staff of Homa,Polearm,5,46,CRIT DMG,"HP increased by 20/25/30/35/40%. Additionally, provides an ATK Bonus based on 0.8/1/1.2/1.4/1.6% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1/1.2/1.4/1.6/1.8% of Max HP."
Moonpiercer,Polearm,5,44,CRIT Rate,"The equipping character gains 52% of their Elemental Mastery as bonus ATK. When an Elemental Skill hits opponents, the Dream of the Scarlet Sands effect will be gained for 10s: The equipping character will gain 28% of their Elemental Mastery as bonus ATK. Max 3 stacks."
Summit Shaper,Sword,5,46,ATK,"Increases Shield Strength by 20/25/30/35/40%. Scoring hits on opponents increases ATK by 4/5/6/7/8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
Sword of Descension,Sword,4,39,ATK,"Hitting enemies with Normal or Charged Attacks grants a 50% chance to deal 200% ATK as DMG in a small AoE. This effect can only occur once every 10s. Additionally, if the Traveler equips the Sword of Descension, their ATK is increased by 66."
Sword of Narzissenkreuz,Sword,4,42,ATK,"In countless stories, the weapon that befits the legendary hero is also the key to opening all gates, required to surpass the climax and reach destiny's denouement."
Talking Stick,Claymore,4,44,CRIT Rate,"ATK will be increased by 16% for 15s after being affected by Pyro. This effect can be triggered once every 12s. All Elemental DMG Bonus will be increased by 12% for 15s after being affected by Hydro, Cryo, Electro, or Dendro. This effect can be triggered once every 12s."
The Alley Flash,Sword,4,44,CRIT Rate,Continuosly sprinting for at least 1s increases ATK by 28% for 6s. This effect cannot stack.
The Bell,Claymore,4,42,HP,"Taking DMG generates a shield which absorbs DMG up to 20/23/26/29/32% of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by the shield, the character gains 12/15/18/21/24% increased DMG."
The Black Sword,Sword,4,42,CRIT Rate,"Increases DMG dealt by Normal and Charged Attacks by 20%.
Additionally, regenerates 60% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s."
The Catch,Polearm,4,42,Energy Recharge,Increases Elemental Burst DMG by 16/20/24/28/32% and Elemental Burst CRIT Rate by 6/7.5/9/10.5/12%.
The Dockhand's Assistant,Sword,4,42,HP,"When the wielder is healed or heals others, they will gain a Stoic's Symbol that lasts 30s, up to a maximum of 3 Symbols. When using their Elemental Skill or Burst, all Symbols will be consumed and the Roused effect will be granted for 10s. For each Symbol consumed, gain 40/50/60/70/80 Elemental Mastery, and 2s after the effect occurs, 2/2.5/3/3.5/4 Energy per Symbol consumed will be restored for said character. The Roused effect can be triggered once every 15s, and Symbols can be gained even when the character is not on the field."
The First Great Magic,Bow,5,46,CRIT DMG,"DMG dealt by Charged Attacks increased by 16%. For every party member with the same Elemental Type as the wielder (including the wielder themselves), gain 1 Gimmick stack. For every party member with a different Elemental Type from the wielder, gain 1 Theatrics stack. When the wielder has 1/2/3 or more Gimmick stacks, ATK will be increased by 16%/32%/48%. When the wielder has 1/2/3 or more Theatrics stacks, Movement SPD will be increased by 4%/7%/10%."
The Flute,Sword,4,42,ATK,"Normal or Charged Attacks grant Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 100/125/150/175/200% ATK DMG to surrounding enemies. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s."
The Stringless,Bow,4,42,Elemental Mastery,Increases Elemental Skill and Elemental Burst DMG by 24/30/36/42/48%.
The Unforged,Claymore,5,46,ATK,"Increases Shield Strength by 20/25/30/35/40%, scoring hits on opponents increases ATK by 4/5/6/7/8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%"
The Viridescent Hunt,Bow,4,42,CRIT Rate,"Upon hit, Normal and Aimed Shot Attacks have a 50% chance to generate a Cyclone, which will continuously attract surrounding enemies, dealing 40% of ATK as DMG to these enemies every 0.5s for 4s. This effect can only occur once every 14s."
The Widsith,Catalyst,4,42,CRIT DMG,"When the character takes the field, they gain a random theme song for 10s:
Recitative: Increases Base ATK by 60%
Interlude: Elemental Mastery is increased by 240
Aria: Increases all Elemental DMG by 48%
Can only occur once every 30s"
Thrilling Tales of Dragon Slayers,Catalyst,3,39,HP,"When switching characters, the new character taking the field has their ATK increased by 24/30/36/42/48% for 10s. This effect can only occur once every 20s."
Thundering Pulse,Bow,5,46,CRIT DMG,"Increases ATK by 20% and grants the might of the Thunder Emblem. At stack levels 1/2/3, the Thunder Emblem increases Normal Attack DMG by 12/24/40%. The character will obtain 1 stack of Thunder Emblem in each of the following scenarios: Normal Attack deals DMG (stack lasts 5s), casting Elemental Skill (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently."
Tidal Shadow,Claymore,4,42,ATK,"After the wielder is healed, ATK will be increased by 24% for 8s. This can be triggered even when the character is not on the field."
Tome of the Eternal Flow,Catalyst,5,44,CRIT DMG,"HP is increased by 16/20/24/28/32%. When current HP increases or decreases, Charged Attack DMG will be increased by 14/18/22/26/30% for 4s. Max 3 stacks, can be triggered once every 0.3s. When you have 3 stacks or refresh a third stack's duration, 8/9/10/11/12 Energy will be restored. This Energy restoration effect can be triggered once every 12s."
Toukabou Shigure,Sword,4,42,Elemental Mastery,"After an attack hits opponents, it will inflict an instance of Cursed Parasol upon one of them for 10s. This effect can be triggered once every 15s. If this opponent is defeated during Cursed Parasol's duration, Cursed Parasol's CD will be refreshed immediately. The character wielding this weapon will deal 16/20/24/28/32% more DMG to the opponent affected by Cursed Parasol."
Traveler's Handy Sword,Sword,3,40,DEF,Each Elemental Orb or Particle collected restores 1/1.25/1.5/1.75/2% HP.
Tulaytullah's Remembrance,Catalyst,5,48,CRIT DMG,"Normal Attack SPD is increased by 10%. After the wielder unleashes an Elemental Skill, Normal Attack DMG will increase by 4.8% every second for 14s. After this character hits an opponent with a Normal Attack during this duration, Normal Attack DMG will be increased by 9.6%. This increase can be triggered once every 0.3s."
Twin Nephrite,Catalyst,3,40,CRIT Rate,Defeating an enemy increases Movement SPD and ATK by 12/14/16/18/20% for 15s.
Ultimate Overlord's Mega Magic Sword,Claymore,4,44,Energy Recharge,"ATK increased by 12/15/18/21/24%. That's not all! The support from all Melusines you've helped in Merusea Village fills you with strength! Based on the number of them you've helped, your ATK is increased by up to an additional 12/15/18/21/24%."
Uraku Misugiri,Sword,5,44,CRIT DMG,"Normal Attack DMG is increased by 16/20/24/28/32% and Elemental Skill DMG is increased by 24/30/36/42/48%. After a nearby active character deals Geo DMG, the aforementioned effects increase by 100% for 15s. Additionally, the wielder's DEF is increased by 20/25/30/35/40%."
Verdict,Claymore,5,48,CRIT Rate,"Increases ATK by 20/25/30/35/40%. When characters in your party obtain Elemental Shards from Crystallize reactions, the equipping character will gain 1 Seal, increasing Elemental Skill DMG by 18/22.5/27/31.5/36%. The Seal lasts for 15s, and the equipped may have up to 2 Seals at once. All of the equipper's Seals will disappear 0.2s after their Elemental Skill deals DMG."
Vortex Vanquisher,Polearm,5,46,ATK,"Increases Shield Strength by 20/25/30/35/40%, scoring hits on opponents increases ATK by 4/5/6/7/8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%"
Wandering Evenstar,Catalyst,4,42,Elemental Mastery,"The following effect will trigger every 10s: The equipping character will gain 24% of their Elemental Mastery as bonus ATK for 12s, with nearby party members gaining 30% of this buff for the same duration. Multiple instances of this weapon can allow this buff to stack. This effect will still trigger even if the character is not on the field."
Waster Greatsword,Claymore,1,23,-,-
Wavebreaker's Fin,Polearm,4,45,ATK,"For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12/0.15/0.18/0.21/0.24%. A maximum of 40/50/60/70/80% increased Elemental Burst DMG can be achieved this way."
White Iron Greatsword,Claymore,3,39,DEF,Defeating an opponent restores 8/10/12/14/16% HP.
White Tassel,Polearm,3,39,CRIT Rate,Increases Normal Attack DMG by 24/30/36/42/48%.
Whiteblind,Claymore,4,42,DEF,"On hit, Normal or Charged Attacks increase Base ATK and DEF by 6/7.5/9/10.5/12% for 6s. Max 4 stacks. Can only occur once every 0.5s."
Windblume Ode,Bow,4,42,Elemental Mastery,"After using an Elemental Skill, receive a boon from the ancient wish of the Windblume, increasing ATK by 16/20/24/28/32% for 6s."
Wine and Song,Catalyst,4,42,Energy Recharge,"For every character in the party who hails from Mondstadt, the character who equips this weapon gains 8/10/12/14/16% ATK increase and 3/3.5/4/4.5/5% Movement SPD increase."
Wolf-Fang,Sword,4,42,CRIT Rate,"DMG dealt by Elemental Skill and Elemental Burst is increased by 16%. When an Elemental Skill hits an opponent, its CRIT Rate will be increased by 2%. When an Elemental Burst hits an opponent, its CRIT Rate will be increased by 2%. Both of these effects last 10s separately, have 4 max stacks, and can be triggered once every 0.1s."
Wolf's Gravestone,Claymore,5,46,ATK,"Increases Base ATK by 20/25/30/35/40%. On hit, attacks against enemies with less than 30% HP increase all party members' Base ATK by 40/50/60/70/80% for 12s. Can only occur once every 30s."
Xiphos' Moonlight,Sword,4,42,Elemental Mastery,"The following effect will trigger every 10s: The equipping character will gain 0.036% Energy Recharge for each point of Elemental Mastery they possess for 12s, with nearby party members gaining 30% of this buff for the same duration. Multiple instances of this weapon can allow this buff to stack. This effect will still trigger even if the character is not on the field."
